15011	 Q0 	http://en.wikipedia.org/wiki/Chicago_Bulls_accomplishments_and_records	63	0.2395826900	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/ws_per_48_progress.html	64	0.2395170000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Brad_Sellers	65	0.2381807300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Danny_Young_(basketball)	66	0.2376010600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Steve_Colter	67	0.2376010600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Eric_Turner_(basketball)	68	0.2376010600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charles_D._Smith	69	0.2369751300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charles_Smith_(basketball,_born_1965)	70	0.2369751300	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/ws_progress_p.html	71	0.2340101000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Chicago_Bulls	72	0.2335208400	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fga_game_p.html	73	0.2334408800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1993_NBA_Finals	74	0.2326597600	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/D	75	0.2326570600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Trent_Tucker	76	0.2315924300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Brad_Davis_(basketball)	77	0.2315924300	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/per_progress_p.html	78	0.2312074900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jordan:_An_American_Hero	79	0.2301368400	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fg2_game.html	80	0.2297644000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Template:Charlotte_Hornets	81	0.2295595000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Steve_Martin_(sportscaster)	82	0.2295595000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bison_Dele	83	0.2294964300	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/David-Falk/2	84	0.2278865100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Tom_Marshall_(basketball)	85	0.2273634700	 Exp 
15011	 Q0 	http://inallairness.com/air053-luc-longley-three-time-nba-champion-talks-jordans-return-bulls-and-more-podcast/	86	0.2268017700	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/P	87	0.2260638500	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fg2a_game.html	88	0.2260281700	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/per_progress.html	89	0.2254977800	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/ows_progress_p.html	90	0.2254977800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1986-87_NBA_season	91	0.2242620000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jordan:_Chaos_in_the_Windy_City	92	0.2242525700	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Jim-Tanner/5	93	0.2242383500	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Benny_the_Bull	94	0.2241467200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Ray_Clay	95	0.2232882000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bob_Love	96	0.2227178500	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fga_progress_p.html	97	0.2225880000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1997-98_NBA_season	98	0.2222875200	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/pts_game_p.html	99	0.2222291000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Randy_Brown	100	0.2217724800	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Bill-Strickland/18	101	0.2211939000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Keith_Lee	102	0.2206465800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jamaal_Wilkes	103	0.2204527400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1992_NBA_Finals	104	0.2202562200	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/ws_per_48_progress_p.html	105	0.2196397000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jon_Sundvold	106	0.2175462400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Schumacher	107	0.2172670800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jack_Sikma	108	0.2168073200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bobby_Phills	109	0.2168073200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Alex_English	110	0.2161669600	 Exp 
15011	 Q0 	http://espn.go.com/nba/playoffs/2012/story/_/id/8068148/nba-playoffs-top-25-performances-ever	111	0.2161405100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1997_NBA_Finals	112	0.2160737700	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/A	113	0.2159330700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Earl_Jones_(basketball)	114	0.2155534200	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fg_game.html	115	0.2144291400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bill_Wennington	116	0.2142339300	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/E	117	0.2137143000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bob_Hansen	118	0.2131510000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1995-96_NBA_season	119	0.2126515200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charlie_Sitton	120	0.2124158300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Chuck_Nevitt	121	0.2124158300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charles_Jones_(basketball,_born_1962)	122	0.2120995000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Sidney_Green_(basketball)	123	0.2120995000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Joe_Barry_Carroll	124	0.2119499100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Template:Chicago_Bulls	125	0.2111302900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/John_Salley	126	0.2108395400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jud_Buechler	127	0.2107153200	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fg2a_game_p.html	128	0.2105471800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jon_Koncak	129	0.2105240100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1996_NBA_Finals	130	0.2097573600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Like_Mike	131	0.2096850900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Sam_Bowie	132	0.2093204300	 Exp 
15011	 Q0 	http://www.sports-reference.com/olympics/athletes/jo/michael-jordan-1.html	133	0.2081367700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Eddie_Jordan_(basketball)	134	0.2079771800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Cliff_Levingston	135	0.2075307400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Johnson_(sprinter)	136	0.2068543400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1991-92_NBA_season	137	0.2062422600	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Henry-Thomas/38	138	0.2053801300	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Marc-Fleisher/32	139	0.2053801300	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fga_game.html	140	0.2049448800	 Exp 
15011	 Q0 	http://slamdunkzone.com/2015/03/31/this-day-in-nba-history-3/	141	0.2031215300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/List_of_Chicago_Bulls_seasons	142	0.2027974700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Rory_Sparrow	143	0.2027407600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Finley	144	0.2024910400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Gary_Plummer_(basketball)	145	0.2017319800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Othell_Wilson	146	0.2017319800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Tim_McCormick	147	0.2017319800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bernard_Thompson	148	0.2017319800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Best_NBA_Player_ESPY_Award	149	0.2011410900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Mike_Gminski	150	0.2011380000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Tony_Campbell	151	0.2011380000	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/fg_game_p.html	152	0.2010438400	 Exp 
15011	 Q0 	http://www.celebritynetworth.com/richest-athletes/nba/michael-jordan-net-worth/	153	0.2008485800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Cooper	154	0.2004260100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bucky_Buckwalter	155	0.1998401600	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/F	156	0.1995622700	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/K	157	0.1992070700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/George_Michael_(sportscaster)	158	0.1991959500	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/L	159	0.1991889300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jackson	160	0.1991414600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jumpman_(logo)	161	0.1991228800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Steve_Stipanovich	162	0.1989836500	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Dickerson	163	0.1985707700	 Exp 
15011	 Q0 	http://basketball.realgm.com/highschool/birth-countries	164	0.1979690200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Category:National_Basketball_Association_players_with_retired_numbers	165	0.1976745000	 Exp 
15011	 Q0 	http://www.celebritynetworth.com/list/top-50-nba/page/4/	166	0.1967652900	 Exp 
15011	 Q0 	http://www.foxsports.com/nba/philadelphia-76ers-team	167	0.1967652900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/North_Carolina_Tar_Heels_men's_basketball	168	0.1960289600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Darrell_Griffith	169	0.1959738900	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Andy-Miller/14	170	0.1958076400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Clyde_Drexler	171	0.1953086300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Sidney_Moncrief	172	0.1952206600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Sean_Elliott	173	0.1952145100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Irvin	174	0.1951460100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/John_Paxson	175	0.1950264900	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Los_Angeles_Lakers_accomplishments_and_records	176	0.1942461300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Neil_Funk	177	0.1930772200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/James_Worthy	178	0.1927228000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/1966_NBA_Expansion_Draft	179	0.1921257700	 Exp 
15011	 Q0 	http://espn.go.com/nba/story/_/page/5-on-5-120301/nba-lebron-james-all-time-greats	180	0.1907134700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bob_Bourne	181	0.1903529600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Reggie_Miller	182	0.1902294500	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/agent_clients/Bill-Duffy/16	183	0.1900808400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Ron_Anderson_(basketball,_born_1958)	184	0.1900808400	 Exp 
15011	 Q0 	http://www.celebritynetworth.com/list/top-50-richest-boxers/	185	0.1900423600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Dave_Cowens	186	0.1899461300	 Exp 
15011	 Q0 	http://basketball.realgm.com/player/Michael-Jordan/Summary/1192	187	0.1886019400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charlotte_Hornets	188	0.1884666200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Charlotte_Bobcats	189	0.1884666200	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/pts_game.html	190	0.1875597000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jeff_Turner	191	0.1875482200	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jalen_Rose	192	0.1874616100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Mark_Price	193	0.1874616100	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Phelps	194	0.1869435200	 Exp 
15011	 Q0 	http://doubledribble.wordpress.com/2014/09/08/converting-for-era-part-1-could-scottie-pippen-play-3-and-d/	195	0.1868912000	 Exp 
15011	 Q0 	http://inallairness.com/air050-reflections-from-inside-looking-back-on-nba-history-podcast/	196	0.1868912000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Nate_McMillan	197	0.1867542700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/2002_NBA_All-Star_Game	198	0.1867542700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/John_Stockton	199	0.1867131300	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Bill_Cartwright	200	0.1862478000	 Exp 
15012	 Q0 	http://www.wikidata.org/wiki/Q36159	1	0.9185159000	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/lebron-james	2	0.8389676000	 Exp 
15012	 Q0 	http://topics.nytimes.com/top/reference/timestopics/people/j/lebron_james/index.html	3	0.7294940400	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/video/2014/aug/07/lebron-james-return-cleveland-cavaliers-anderson-varejao-video	4	0.7089898000	 Exp 
